Location,Longitude,Latitude
University of Ghana,-0.1962244,5.650562,HALL
Akuafo Hall,-0.18570339999999996,5.6504233,HALL
Volta Hall,-0.189828,5.651687,HALL
Commonwealth Hall,-0.19255780000000003,5.650778600000001,HALL
Mensah Sarbah Hall,-0.1861566,5.645423300000001,HALL
LEGON HALL ANNEX B,-0.18846429999999997,5.6469648999999995,HALL
Legon Hall Annex C (GRADUATE HOSTEL),-0.1889045,5.6473666,HALL
Legon Hall Annex A,-0.18840879999999996,5.6479501999999995,HALL
Mensah Sarbah Annex A Block,-0.1851638,5.6458409,HALL
Mensah Sarbah Annex C,-0.1853728,5.6453798,HALL
Mensah Sarbah Annex D,-0.1857564,5.645478,HALL
Akuafo Hall Annex A,-0.1855917,5.647922299999999,HALL
Akuafo Hall Annex B,-0.1856753,5.6469289,HALL
Loading... Wait a few more moments,-0.18530500000000003,5.647463300000001,HALL
Akuafo Hall Annex D,-0.1858704,5.6472017999999995,HALL
Dr. Hilla Limann Hall,-0.18488349999999998,5.637331700000001,HALL
Jean Nelson Aka Hall,-0.1884651,5.6352521,HALL
Alexander Kwapong Hall,-0.1861621,5.637268,HALL
Elizabeth Frances Sey Hall,-0.1875964,5.635961099999999,HALL
Jubilee Hall,-0.1862323,5.6403435,HALL
International Student Hostel- ISH,-0.18519879999999997,5.640027399999999,HALL
Vikings Hostel,-0.18542699999999995,5.644369099999999,HALL
GHANA HOSTELS LTD FLATS PENTAGON,-0.1814073,5.656601800000001,HALL
Bani Hostel,-0.1797826,5.6630910000000005,HALL
Evandy Hostel Legon campus,-0.18174359999999998,5.662996899999999,HALL